paper_title,doi,cited_by_count,fwci,snapshot_date
Adaptability and the Pivot Penalty in Science,10.48550/arXiv.2107.06476,2.0,,2026-01-17
Changing the default meal option at university events to reduce harmful environmental impacts: Six randomized controlled trials,10.1016/j.appet.2024.107572,6.0,5.27739417,2026-01-18
Evaluating dynamic norm messages and alternative interventions to reduce meat consumption in cafeterias [Author Accepted Manuscript] ,10.23668/psycharchives.21550,0.0,,2026-01-18
" [Up-to-date, please ignore my previous version for this paper] - Reducing meat consumption through default nudging: a field study",10.3389/fpsyg.2025.1439641,1.0,5.05254368,2026-01-18
Impact of increasing vegetarian availability on meal selection and sales in cafeterias,10.1073/pnas.1907207116,224.0,14.08976583,2026-01-18
Ardesch 2025 - Reducing meat consumption through default nudging - a field study,10.3389/fpsyg.2025.1439641,1.0,5.05254368,2026-01-18
The effects of Veganuary on meal choices in workplace cafeterias: an interrupted time series analysis ,10.1017/bpp.2023.27,2.0,0.60501648,2026-01-18
Reducing meat consumption through default nudging: a field study ,10.3389/fpsyg.2025.1439641,1.0,5.05254368,2026-01-18
Beyond the first choice: How (nudged) vegetarian food choices spill over to subsequent food choices,10.1016/j.appet.2025.108394,0.0,,2026-01-18
A matter of identity: Promoting plant-based food among meat-eaters through a common identity priming ,10.1016/j.jretconser.2024.103863,12.0,8.83420607,2026-01-18
Behavioral interventions to motivate plant-based food selection in an online shopping environment,10.1073/pnas.2319018121,7.0,6.15695987,2026-01-18
Changing the default meal option at university events to reduce harmful environmental impacts: Six randomized controlled trials,10.1016/j.appet.2024.107572,6.0,5.27739417,2026-01-18
Trials Avoid High Risk Patients and Underestimate Drug Harms,10.3386/w34534,0.0,,2026-01-18
Independent Researcher,10.5281/zenodo.17555644,0.0,,2026-01-18
A systematic review and meta-analysis of the impact of cash transfers on subjective well-being and mental health in low- and middle-income countries,10.1073/pnas.2319018121,7.0,6.15695987,2026-01-18
Unlocking the potential of cultivated meat through cell line engineering,10.1016/j.isci.2024.110877,18.0,8.64445005,2026-01-18
Simple and effective serum-free medium for sustained expansion of bovine satellite cells for cell cultured meat,10.1038/s42003-022-03423-8,247.0,51.87781683,2026-01-18
A Beefy-R culture medium: Replacing albumin with rapeseed protein isolates,10.1016/j.biomaterials.2023.122092,74.0,25.86761684,2026-01-18
Exploring cost reduction strategies for serum free media development,10.1038/s41538-024-00352-0,16.0,7.6839556,2026-01-18
Towards cost-effective and sustainable media formulations for cellular agriculture,10.2139/ssrn.5310265,0.0,0.0,2026-01-18
Preliminary Techno-Economic Assessment of Animal Cell-Based Meat,10.3390/foods10010003,75.0,3.9986059,2026-01-18
Empirical economic analysis shows cost-effective continuous manufacturing of cultivated chicken using animal-free medium,10.1038/s43016-024-01022-w,31.0,27.26653657,2026-01-18
A scoping review of cultivated meat techno-economic analyses to inform future research directions for scaled-up manufacturing,10.1038/s43016-024-01061-3,12.0,10.55478835,2026-01-18
Systematic assessment of the achieved emission reductions of carbon crediting projects,10.1038/s41467-024-53645-z,50.0,49.98379026,2026-01-18
How much will large-scale production of cell-cultured meat cost?,10.1016/j.jafr.2022.100358,120.0,25.72453727,2026-01-18
Scale-up economics for cultured meat,10.1002/bit.27848,197.0,25.7130649,2026-01-18
Techno-economic modeling and assessment of cultivated meat: Impact of production bioreactor scale,10.1002/bit.28324,59.0,7.26108032,2026-01-18
Technological Disruption in the labor market,10.3386/w33323,8.0,,2026-01-18
THE GLOBAL EFFECTS OF CARBON BORDER ADJUSTMENT MECHANISMS,10.3386/w33723,4.0,,2026-01-18
EMPIRICALLY DISTINGUISHING HEALTH IMPACTS OF TRANSBOUNDARY AND DOMESTIC AIR POLLUTION IN MIXTURE,10.3386/w33379,0.0,,2026-01-18
Observational price variation in scanner data cannot reproduce experimental price elasticities,10.2139/ssrn.4899765,2.0,0.8043746,2026-01-18
Drivers of Inflation in the Caucasus and Central Asia,10.5089/9798400296031.001,1.0,17.7035613,2026-01-18
A Formal Counterexample to the Hodge Conjecture via Möbius K3 Surfaces,10.5281/zenodo.15267235,0.0,,2026-01-18
Toward an Evaluation Science for Generative AI Systems,10.48550/arXiv.2503.05336,2.0,0.0,2026-01-18
"AGI, Governments, and Free Societies",10.48550/arXiv.2503.05710,0.0,,2026-01-18
The Cybernetic Teammate,http://dx.doi.org/10.2139/ssrn.5188231,11.0,69.12448188,2026-01-18
Cash Transfers for Child Development: Experimental Evidence from India,10.3386/w32093,2.0,,2026-01-18
"How persuasive is AI-generated propaganda? 
",10.1093/pnasnexus/pgae034,86.0,176.0624673,2026-01-18
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,10.31219/osf.io/q6xyr,0.0,0.0,2026-01-18
Concentrating Intelligence: Scaling and Market Structure in Artificial Intelligence.,10.1093/epolic/eiae057,10.0,9.99675805,2026-01-18
Long-term Impacts of Growth and Development Monitoring: Evidence from Routine Health Examinations in Early Childhood,10.1016/j.jhealeco.2025.102972,2.0,17.47871311,2026-01-18
Early Childhood Human Capital Formation at Scale,10.1016/j.jpubeco.2023.105046,4.0,14.23754106,2026-01-18
All Crises Are Unhappy in Their Own Way: The Role of Societal Instability in Shaping the Past,10.31235/osf.io/rk4gd,15.0,51.74416443,2026-01-18
Misperceptions and Demand for Democracy under Authoritarianism,10.3386/w33018,4.0,,2026-01-18
The Effects of Firms' Lobbying on Resource Misallocation,http://dx.doi.org/10.2139/ssrn.3275097,56.0,5.29924009,2026-01-18
"A Welfare Analysis of Policies
Impacting Climate Change",10.3386/w32728,13.0,,2026-01-18
Unconditional Cash Transfers: A Bayesian Meta-Analysis of Randomized Evaluations in Low and Middle Income Countries,10.3386/w32779,9.0,,2026-01-18
Intergenerational Discounting and Inequality,10.13140/RG.2.2.18112.14080,0.0,0.0,2026-01-18
Interventions that influence animal-product consumption: A meta-review ,10.1016/j.fufo.2021.100111,55.0,5.90705545,2026-01-18
"Machine learning predicts which rivers, streams, and wetlands the Clean Water Act regulates.",10.1126/science.adi3794,27.0,15.49217095,2026-01-18
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,10.3386/w32450,71.0,,2026-01-18
Global potential for natural regeneration in deforested tropical regions,10.21203/rs.3.rs-3235955/v1,8.0,1.62405606,2026-01-18
China and the U.S. produce more impactful AI research when collaborating together,10.1038/s41598-024-79863-5,13.0,11.41603868,2026-01-18
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,10.3386/w31728,9.0,,2026-01-18
The Effect of Public Science on Corporate R&D,doig.org/10.3386/w31899,15.0,,2026-01-18
Resilience Reconsidered: The need for modelling resilience in food distribution and trade relations in post-nuclear war recovery,10.13140/RG.2.2.29372.45446/1,0.0,0.0,2026-01-18
Quantifying the Benefit of Artificial Intelligence for Scientific Research,10.48550/arXiv.2304.10578,8.0,,2026-01-18
When Product Markets Become Collective Traps: The Case of Social Media,10.3386/w31771,36.0,,2026-01-18
The advancement of artificial intelligence in biomedical research and health innovation: challenges and opportunities in emerging economies,"GonçalvesLeoneldaSilva,Renan,Theroleofautonomousexperimentationinbiomedicalsciencesandhealthinnovation:Challengesandopportunitiesinemergingeconomies(January3,2024).AvailableatSSRN:https://ssrn.com/abstract=4672439orhttp://dx.doi.org/10.2139/ssrn.4672439",3.0,1.10257789,2026-01-18
Willful Ignorance and Moral Behavior,https://dx.doi.org/10.2139/ssrn.3938994,18.0,1.87989278,2026-01-18
Legalizing Entrepreneurship,10.3386/w30624,3.0,,2026-01-18
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,10.1093/ej/uead102,16.0,6.25223491,2026-01-18
Rationalizing risk aversion in science,10.1371/journal.pbio.3002750,3.0,3.18835948,2026-01-18
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,10.3386/w30202,2.0,,2026-01-18
No Great Equalizer: Experimental Evidence on AI in the UK Labor Market,http://dx.doi.org/10.2139/ssrn.4594466,17.0,10.45762937,2026-01-18
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,10.1257/aeri.20230431,8.0,47.0523054,2026-01-18
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,10.3386/w28726,75.0,,2026-01-18
A systematic review and meta-analysis of the impact of cash transfers on subjective well-being and mental health in low- and middle-income countries`,10.1038/s41562-021-01252-z,150.0,46.50572142,2026-01-18
The Past and Future of Economic Growth: A Semi-Endogenous Perspective,10.1146/annurev-economics-080521-012458,55.0,12.23997716,2026-01-18
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",10.3386/w30011,40.0,,2026-01-18
Monetary incentives increase COVID-19 vaccinations,10.1126/science.abm0475,311.0,35.34164729,2026-01-18
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,10.1093/wbro/lkae010,4.0,2.59689108,2026-01-18
The Psychology of Existential Risk: Moral Judgments about Human Extinction,10.1038/s41598-019-50145-9,41.0,2.33490851,2026-01-18
Frontier AI Regulation,10.48550/arXiv.2307.03718,68.0,,2026-01-18
Artificial Intelligence and Economic Growth,10.3386/w23928,361.0,,2026-01-18
AI-tocracy,10.1093/qje/qjad012,82.0,91.11115474,2026-01-18
Laboratory Safety and Research Productivity,10.1016/j.respol.2023.104827,13.0,15.577193,2026-01-18
The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,10.1287/mnsc.2023.4846,5.0,8.83179327,2026-01-18
Effects of Emigration on Rural Labor Markets,10.3386/w23929,48.0,,2026-01-18
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,10.3386/w30835,8.0,,2026-01-18
Cognitive behavior therapy reduces crime and violence over 10 years: Experimental evidence,10.1257/aeri.20220427,15.0,6.09286308,2026-01-18
Serendipity in Science,10.48550/arXiv.2308.07519,0.0,,2026-01-18
Incentives and Creativity: Evidence from the Academic Life Sciences,10.3386/w15466,1.0,,2026-01-18
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,10.3386/w28106,64.0,,2026-01-18
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,10.2139/ssrn.4154000,62.0,21.16812147,2026-01-18
When do “Nudges” Increase Welfare?,10.3386/w30740,17.0,,2026-01-18
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,10.3386/w31354,4.0,,2026-01-18
Health Knowledge and Non-Pharmaceutical Interventions During the COVID-19 Pandemic in Africa,10.1016/j.jebo.2021.06.045,20.0,1.72647778,2026-01-18
Longer-run Economic Consequences of Pandemics,10.1162/rest_a_01042,244.0,41.24124412,2026-01-18
The Environmental Effects of Economic Production: Evidence from Ecological Observations,10.3386/w29357,2.0,,2026-01-18
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,10.3386/w31208,25.0,,2026-01-18
Dust pollution from the Sahara and African infant mortality,10.1038/s41893-020-0562-1,70.0,4.26738286,2026-01-18
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,10.3386/w31409,7.0,,2026-01-18
The Wandering Scholars: Understanding the Heterogeneity of University Commercialization,10.3386/w32069,4.0,,2026-01-18
Animals and Social Welfare,10.1007/s00355-023-01495-x,23.0,13.53340271,2026-01-18
Behavioral Evidence for Global Consciousness Transcending National Parochialism,10.1038/s41598-023-47333-z,9.0,4.6042803,2026-01-18
Giving farm animals a name and a face: Eliciting animal advocacy among omnivores using the identifiable victim effect,10.1016/j.jenvp.2023.102193,8.0,2.87417965,2026-01-18
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions ",10.3386/w32073,6.0,,2026-01-18
Digital Information Provision and Behavior Change: Lessons from Six Experiments in East Africa,10.3386/w32048,3.0,,2026-01-18
"A Framework for Economic Growth with Capital-Embodied Technicality Change
",10.1257/aer.20221180,15.0,14.99513708,2026-01-18
Long-term effects of lead,10.3386/w31957,6.0,,2026-01-18
Copyright Policy Options for Generative Artificial Intelligence,10.3386/w32106,6.0,,2026-01-18
How Learning About Harms Impacts the Optimal Rate of Artificial Intelligence Adoption,10.3386/w32105,5.0,,2026-01-18
Urban Forests: Environmental Health Values and Risks,10.3386/w31554,9.0,,2026-01-18
What drives poor quality of care for child diarrhea?,10.1126/science.adj9986,13.0,61.48049671,2026-01-18
AI-Augmented Predictions: LLM Assistants Improve Human Forecasting Accuracy,10.48550/arXiv.2402.07862,3.0,,2026-01-18
Effective and Scalable Math Support: Evidence on the Impact of an AITutor on Math Achievement in Ghana,10.1007/978-3-031-64315-6_34,14.0,17.63975226,2026-01-18
Robots For Economic Development,10.1016/j.labeco.2025.102731,4.0,17.64461453,2026-01-18
Moral expansiveness around the world: The role of societal factors across 36 countries,10.1177/19485506221101767,23.0,6.24021069,2026-01-18
National parochialism is ubiquitous across 42 nations around the world. Nature Communications. ,10.1038/s41467-021-24787-1,127.0,22.73540663,2026-01-18
Who Stands on the Shoulders of Chinese (Scientific) Giants? Evidence from Chemistry,10.3386/w30772,8.0,,2026-01-18
Informing Mothers about the Benefits of Conversing with Infants: Experimental Evidence from Ghana,10.3386/w31264,9.0,,2026-01-18
Germs in the Family: The Long-Term Consequences of Intra-Household Endemic Respiratory Disease Spread,10.3386/w29524,3.0,,2026-01-18
Understanding the Impacts of a Natural Disaster: Evidence from the 2004 Indian Ocean Tsunami,10.1007/978-3-031-28089-4_11,2.0,2.087073,2026-01-18
Harms of AI,10.3386/w29247,115.0,,2026-01-18
"Reducing Bias Among Health Care Providers: Experimental Evidence From Tanzania, Burkina Faso, and Pakistan",10.3386/w31269,4.0,,2026-01-18
The Impact of Group Size on Giving Versus Demand for Redistribution [renamed],10.1016/j.jpubeco.2024.105200,1.0,1.06278649,2026-01-18
Uncertainty and Individual Discretion in Allocating Research Funds,10.3386/w32033,0.0,,2026-01-18
Surplus Appropriation from R&D and Health Care Technology Assessment Procedures,10.3386/w12016,15.0,,2026-01-18
Global variation in subjective well-being predicts seven forms of altruism. ,10.1177/0956797621994767,57.0,7.98157892,2026-01-18
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,10.1080/21606544.2022.2138980,8.0,1.84754372,2026-01-18
Structural Uncertainty and the Value of Statistical Life in the Economics of Catastrophic Climate Change,10.1093/reep/rer006,500.0,61.84896853,2026-01-18
Generation Next: Experimentation with AI,10.3386/w31679,6.0,,2026-01-18
Pharmaceutical Pricing and R&D as a Global Public Good,10.3386/w31272,3.0,,2026-01-18
Every little helps: exploring meat and animal product consumption in the Tesco 1.0 dataset,10.1186/s43170-023-00178-y,1.0,0.30250824,2026-01-18
Population ethical intuitions.,10.1016/j.cognition.2021.104941,11.0,1.07422445,2026-01-18
Randomized Regulation: The Impact of Minimum Quality Standards on Health Markets,10.3386/w31203,5.0,,2026-01-18
Stagnation and Scientific Incentives,10.3386/w26752,56.0,,2026-01-18
The Surrogate Index: Combining Short-Term Proxies to Estimate Long-Term Treatment Effects More Rapidly and Precisely.,10.3386/w26463,110.0,,2026-01-18
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,10.1287/mnsc.2020.00596,3.0,6.28794526,2026-01-18
Does Combating Corruption Reduce Clientelism?,10.3386/w31266,0.0,,2026-01-18
Where Have All the “Creative Talents” Gone?,10.3386/w31085,12.0,,2026-01-18
"Money, Time, and Grant Design",10.1257/aer.20161574,343.0,25.10368788,2026-01-18
Advance Market Commitments: Insights from Theory and Experience,10.1257/pandp.20201017,81.0,11.11572406,2026-01-18
Banning wildlife trade can boost demand for unregulated threatened species,10.1111/conl.13077,9.0,28.0644457,2026-01-18
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,10.1257/aer.20221215,128.0,501.52036296,2026-01-18
Biodiversity risk,10.3386/w31137,127.0,,2026-01-18
Towards best practices in AGI safety and governance,10.48550/arXiv.2305.07153,15.0,,2026-01-18
Global Supply Chains in the Pandemic,10.1016/j.jinteco.2021.103534,334.0,50.28344203,2026-01-18
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,10.3386/w30126,0.0,,2026-01-18
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,10.1016/j.ijdrr.2022.102798,14.0,12.87645465,2026-01-18
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",10.3386/w31162,5.0,,2026-01-18
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,10.1257/aeri.20210612,27.0,6.56666223,2026-01-18
"Zero-Sum Thinking, the Evolution of Effort-Suppressing Beliefs, and Economic Development",10.3386/w31663,4.0,,2026-01-18
The Returns to Science In the Presence of Technological Risks,10.48550/arXiv.2312.14289,0.0,,2026-01-18
Adaptability and the Pivot Penalty in Science,10.48550/arXiv.2107.06476,2.0,,2026-01-18
