research,evaluator,criteria,middle_rating,lower_CI,upper_CI,confidence_level,row_created_date
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,David Reiley,logic_comms,93.0,90.0,98.0,,2025-12-29T17:15:13
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,David Reiley,merits_journal,4.5,3.9,4.7,,2025-12-29T17:15:13
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,David Reiley,methods,90.0,85.0,94.0,,2025-12-29T17:15:13
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,David Reiley,open_sci,92.0,88.0,95.0,,2025-12-29T17:15:13
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,David Reiley,overall,90.0,85.0,95.0,,2025-12-29T17:15:13
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,David Reiley,real_world,90.0,80.0,94.0,,2025-12-29T17:15:13
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Evaluator 2,adv_knowledge,76.0,68.0,83.0,,2025-12-29T17:15:13
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Evaluator 2,gp_relevance,91.0,78.0,94.0,,2025-12-29T17:15:13
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Evaluator 2,journal_predict,4.6,3.5,5.0,,2025-12-29T17:15:13
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Evaluator 2,logic_comms,67.0,62.0,78.0,,2025-12-29T17:15:13
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Evaluator 2,merits_journal,4.3,3.7,4.8,,2025-12-29T17:15:13
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Evaluator 2,methods,72.0,63.0,81.0,,2025-12-29T17:15:13
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Evaluator 2,open_sci,48.0,42.0,68.0,,2025-12-29T17:15:13
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Evaluator 2,overall,80.0,71.0,86.0,,2025-12-29T17:15:13
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,Evaluator 2,real_world,91.0,78.0,94.0,,2025-12-29T17:15:13
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Evaluator 2,adv_knowledge,76.0,64.0,85.0,,2025-12-29T17:15:13
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Evaluator 2,gp_relevance,95.0,90.0,100.0,,2025-12-29T17:15:13
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Evaluator 2,journal_predict,3.3,2.6,4.1,,2025-12-29T17:15:13
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Evaluator 2,logic_comms,91.0,81.0,100.0,,2025-12-29T17:15:13
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Evaluator 2,merits_journal,3.3,2.6,4.1,,2025-12-29T17:15:13
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Evaluator 2,methods,77.0,70.0,83.0,,2025-12-29T17:15:13
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Evaluator 2,open_sci,96.0,92.0,100.0,,2025-12-29T17:15:13
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Evaluator 2,overall,80.0,65.0,90.0,,2025-12-29T17:15:13
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,Evaluator 2,real_world,95.0,90.0,100.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,adv_knowledge,65.0,50.0,80.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,claims,75.0,60.0,90.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,gp_relevance,50.0,40.0,60.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,journal_predict,4.3,2.5,5.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,logic_comms,65.0,55.0,75.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,merits_journal,4.0,3.5,4.8,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,methods,70.0,60.0,80.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,open_sci,70.0,50.0,80.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,overall,70.0,45.0,85.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",David Hugh-Jones,real_world,50.0,40.0,60.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",Valerio Capraro,adv_knowledge,95.0,93.0,97.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",Valerio Capraro,claims,80.0,70.0,90.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",Valerio Capraro,gp_relevance,85.0,75.0,95.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",Valerio Capraro,journal_predict,4.5,4.2,4.8,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",Valerio Capraro,logic_comms,90.0,83.0,97.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",Valerio Capraro,merits_journal,4.2,3.7,4.7,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",Valerio Capraro,methods,80.0,70.0,90.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",Valerio Capraro,open_sci,95.0,92.0,98.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",Valerio Capraro,overall,85.0,75.0,95.0,,2025-12-29T17:15:13
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",Valerio Capraro,real_world,85.0,75.0,95.0,,2025-12-29T17:15:13
Existential Risk & Growth,Ioannis Bournakis,adv_knowledge,60.0,55.0,65.0,,2025-12-29T17:15:13
Existential Risk & Growth,Ioannis Bournakis,gp_relevance,65.0,60.0,72.0,,2025-12-29T17:15:13
Existential Risk & Growth,Ioannis Bournakis,journal_predict,3.5,3.2,4.1,,2025-12-29T17:15:13
Existential Risk & Growth,Ioannis Bournakis,logic_comms,70.0,65.0,75.0,,2025-12-29T17:15:13
Existential Risk & Growth,Ioannis Bournakis,merits_journal,3.5,3.2,4.0,,2025-12-29T17:15:13
Existential Risk & Growth,Ioannis Bournakis,methods,85.0,80.0,90.0,,2025-12-29T17:15:13
Existential Risk & Growth,Ioannis Bournakis,open_sci,63.0,60.0,70.0,,2025-12-29T17:15:13
Existential Risk & Growth,Ioannis Bournakis,overall,60.0,68.0,70.0,,2025-12-29T17:15:13
Existential Risk & Growth,Ioannis Bournakis,real_world,65.0,60.0,72.0,,2025-12-29T17:15:13
Existential Risk & Growth,Seth G. Benzell,adv_knowledge,80.0,50.0,100.0,,2025-12-29T17:15:13
Existential Risk & Growth,Seth G. Benzell,gp_relevance,80.0,50.0,100.0,,2025-12-29T17:15:13
Existential Risk & Growth,Seth G. Benzell,journal_predict,4.5,3.0,5.0,,2025-12-29T17:15:13
Existential Risk & Growth,Seth G. Benzell,logic_comms,90.0,85.0,95.0,,2025-12-29T17:15:13
Existential Risk & Growth,Seth G. Benzell,merits_journal,4.5,4.2,5.0,,2025-12-29T17:15:13
Existential Risk & Growth,Seth G. Benzell,methods,90.0,75.0,95.0,,2025-12-29T17:15:13
Existential Risk & Growth,Seth G. Benzell,open_sci,95.0,90.0,99.0,,2025-12-29T17:15:13
Existential Risk & Growth,Seth G. Benzell,overall,95.0,80.0,99.0,,2025-12-29T17:15:13
Existential Risk & Growth,Seth G. Benzell,real_world,80.0,50.0,100.0,,2025-12-29T17:15:13
"Forecasting Existential Risks
Evidence from a Long-Run
Forecasting Tournament",Evaluator 1,overall,80.0,,,,2025-12-29T17:15:13
Forecasts estimate limited cultured meat production through 2050,David Manheim,adv_knowledge,92.0,80.0,94.0,,2025-12-29T17:15:13
Forecasts estimate limited cultured meat production through 2050,David Manheim,claims,50.0,40.0,85.0,,2025-12-29T17:15:13
Forecasts estimate limited cultured meat production through 2050,David Manheim,gp_relevance,95.0,87.0,99.0,,2025-12-29T17:15:13
Forecasts estimate limited cultured meat production through 2050,David Manheim,logic_comms,50.0,43.0,67.0,,2025-12-29T17:15:13
Forecasts estimate limited cultured meat production through 2050,David Manheim,methods,84.0,80.0,94.0,,2025-12-29T17:15:13
Forecasts estimate limited cultured meat production through 2050,David Manheim,open_sci,92.0,84.0,98.0,,2025-12-29T17:15:13
Forecasts estimate limited cultured meat production through 2050,David Manheim,overall,85.0,60.0,91.0,,2025-12-29T17:15:13
Forecasts estimate limited cultured meat production through 2050,David Manheim,real_world,95.0,87.0,99.0,,2025-12-29T17:15:13
Forecasts estimate limited cultured meat production through 2050,Estere Seinkmane,overall,70.0,60.0,80.0,,2025-12-29T17:15:13
Global potential for natural regeneration in deforested tropical regions,Cannon Cloud,adv_knowledge,50.0,40.0,90.0,,2025-12-29T17:15:13
Global potential for natural regeneration in deforested tropical regions,Cannon Cloud,claims,40.0,20.0,60.0,,2025-12-29T17:15:13
Global potential for natural regeneration in deforested tropical regions,Cannon Cloud,gp_relevance,60.0,50.0,70.0,,2025-12-29T17:15:13
Global potential for natural regeneration in deforested tropical regions,Cannon Cloud,journal_predict,5.0,5.0,5.0,,2025-12-29T17:15:13
Global potential for natural regeneration in deforested tropical regions,Cannon Cloud,logic_comms,65.0,50.0,80.0,,2025-12-29T17:15:13
Global potential for natural regeneration in deforested tropical regions,Cannon Cloud,merits_journal,4.5,3.5,5.0,,2025-12-29T17:15:13
Global potential for natural regeneration in deforested tropical regions,Cannon Cloud,methods,30.0,10.0,50.0,,2025-12-29T17:15:13
Global potential for natural regeneration in deforested tropical regions,Cannon Cloud,open_sci,30.0,15.0,45.0,,2025-12-29T17:15:13
Global potential for natural regeneration in deforested tropical regions,Cannon Cloud,overall,50.0,30.0,80.0,,2025-12-29T17:15:13
Global potential for natural regeneration in deforested tropical regions,Cannon Cloud,real_world,60.0,50.0,70.0,,2025-12-29T17:15:13
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,No (but please contact me if other reviewers have publicly identified themselves—I just don’t want to be the only one!),adv_knowledge,70.0,50.0,90.0,,2025-12-29T17:15:13
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,No (but please contact me if other reviewers have publicly identified themselves—I just don’t want to be the only one!),claims,85.0,75.0,95.0,,2025-12-29T17:15:13
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,No (but please contact me if other reviewers have publicly identified themselves—I just don’t want to be the only one!),gp_relevance,80.0,70.0,89.0,,2025-12-29T17:15:13
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,No (but please contact me if other reviewers have publicly identified themselves—I just don’t want to be the only one!),journal_predict,4.200000000000001,3.500000000000003,4.899999999999999,,2025-12-29T17:15:13
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,No (but please contact me if other reviewers have publicly identified themselves—I just don’t want to be the only one!),logic_comms,90.0,85.0,95.0,,2025-12-29T17:15:13
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,No (but please contact me if other reviewers have publicly identified themselves—I just don’t want to be the only one!),merits_journal,4.2,3.5,4.9,,2025-12-29T17:15:13
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,No (but please contact me if other reviewers have publicly identified themselves—I just don’t want to be the only one!),methods,90.0,85.0,95.0,,2025-12-29T17:15:13
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,No (but please contact me if other reviewers have publicly identified themselves—I just don’t want to be the only one!),open_sci,90.0,85.0,95.0,,2025-12-29T17:15:13
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,No (but please contact me if other reviewers have publicly identified themselves—I just don’t want to be the only one!),overall,80.0,65.0,95.0,,2025-12-29T17:15:13
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,No (but please contact me if other reviewers have publicly identified themselves—I just don’t want to be the only one!),real_world,80.0,70.0,89.0,,2025-12-29T17:15:13
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Evaluator 1,adv_knowledge,80.0,65.0,85.0,,2025-12-29T17:15:13
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Evaluator 1,gp_relevance,80.0,73.0,85.0,,2025-12-29T17:15:13
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Evaluator 1,journal_predict,3.0,2.0,3.5,,2025-12-29T17:15:13
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Evaluator 1,logic_comms,66.0,58.0,75.0,,2025-12-29T17:15:13
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Evaluator 1,merits_journal,2.5,2.0,3.0,,2025-12-29T17:15:13
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Evaluator 1,methods,60.0,44.0,82.0,,2025-12-29T17:15:13
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Evaluator 1,open_sci,61.0,52.0,73.0,,2025-12-29T17:15:13
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Evaluator 1,overall,70.0,55.0,74.0,,2025-12-29T17:15:13
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Evaluator 1,real_world,80.0,73.0,85.0,,2025-12-29T17:15:13
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Evaluator 2,adv_knowledge,70.0,65.0,75.0,,2025-12-29T17:15:13
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Evaluator 2,gp_relevance,70.0,65.0,75.0,,2025-12-29T17:15:13
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Evaluator 2,journal_predict,3.2,2.8,4.2,,2025-12-29T17:15:13
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Evaluator 2,logic_comms,75.0,70.0,80.0,,2025-12-29T17:15:13
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Evaluator 2,merits_journal,3.0,2.8,3.2,,2025-12-29T17:15:13
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Evaluator 2,methods,68.0,58.0,78.0,,2025-12-29T17:15:13
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Evaluator 2,open_sci,80.0,70.0,90.0,,2025-12-29T17:15:13
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Evaluator 2,overall,75.0,68.0,82.0,,2025-12-29T17:15:13
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,Evaluator 2,real_world,70.0,65.0,75.0,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 1,adv_knowledge,80.0,70.0,90.0,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 1,claims,70.0,60.0,75.0,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 1,gp_relevance,75.0,65.0,85.0,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 1,journal_predict,3.5,2.9,4.0,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 1,logic_comms,75.0,70.0,80.0,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 1,merits_journal,3.6,3.2,4.2,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 1,methods,75.0,70.0,85.0,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 1,open_sci,80.0,70.0,90.0,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 1,overall,75.0,69.0,85.0,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,Evaluator 1,real_world,75.0,65.0,85.0,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,N/A,adv_knowledge,32.0,,,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,N/A,claims,35.0,0.0,51.0,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,N/A,gp_relevance,30.0,,,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,N/A,journal_predict,3.2,,,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,N/A,logic_comms,40.0,,,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,N/A,merits_journal,2.5,,,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,N/A,methods,34.0,0.0,,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,N/A,open_sci,70.0,,,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,N/A,overall,46.0,0.0,,,2025-12-29T17:15:13
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,N/A,real_world,30.0,,,,2025-12-29T17:15:13
Legalizing Entrepreneurship,Evaluator 1,adv_knowledge,60.0,50.0,70.0,,2025-12-29T17:15:13
Legalizing Entrepreneurship,Evaluator 1,gp_relevance,80.0,70.0,90.0,,2025-12-29T17:15:13
Legalizing Entrepreneurship,Evaluator 1,journal_predict,2.5,2.0,3.0,,2025-12-29T17:15:13
Legalizing Entrepreneurship,Evaluator 1,logic_comms,60.0,50.0,70.0,,2025-12-29T17:15:13
Legalizing Entrepreneurship,Evaluator 1,merits_journal,2.5,2.0,3.0,,2025-12-29T17:15:13
Legalizing Entrepreneurship,Evaluator 1,methods,60.0,50.0,70.0,,2025-12-29T17:15:13
Legalizing Entrepreneurship,Evaluator 1,open_sci,50.0,40.0,60.0,,2025-12-29T17:15:13
Legalizing Entrepreneurship,Evaluator 1,overall,60.0,50.0,70.0,,2025-12-29T17:15:13
Legalizing Entrepreneurship,Evaluator 1,real_world,80.0,70.0,90.0,,2025-12-29T17:15:13
Legalizing Entrepreneurship,Evaluator 2,adv_knowledge,96.0,90.0,100.0,,2025-12-29T17:15:13
Legalizing Entrepreneurship,Evaluator 2,gp_relevance,97.0,93.0,100.0,,2025-12-29T17:15:13
Legalizing Entrepreneurship,Evaluator 2,journal_predict,4.4,4.0,4.7,,2025-12-29T17:15:13
Legalizing Entrepreneurship,Evaluator 2,logic_comms,98.0,95.0,100.0,,2025-12-29T17:15:13
Legalizing Entrepreneurship,Evaluator 2,merits_journal,4.7,4.0,5.0,,2025-12-29T17:15:13
Legalizing Entrepreneurship,Evaluator 2,methods,92.0,86.0,97.0,,2025-12-29T17:15:13
Legalizing Entrepreneurship,Evaluator 2,open_sci,78.0,72.0,83.0,,2025-12-29T17:15:13
Legalizing Entrepreneurship,Evaluator 2,overall,90.0,85.0,97.0,,2025-12-29T17:15:13
Legalizing Entrepreneurship,Evaluator 2,real_world,97.0,93.0,100.0,,2025-12-29T17:15:13
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Eleanor Tsai,adv_knowledge,95.0,90.0,100.0,,2025-12-29T17:15:13
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Eleanor Tsai,claims,90.0,80.0,100.0,,2025-12-29T17:15:13
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Eleanor Tsai,gp_relevance,95.0,90.0,100.0,,2025-12-29T17:15:13
Maternal cash transfers for gender equity and child development: Experimental evidence from India,Eleanor Tsai,journal_predict,4.1,3.6,4.6,,2025-12-29T17:15:13
