Name of the paper or project,How long have you been in this field?,"How many proposals, papers, and projects have you evaluated/reviewed?",Field/expertise,Approximately how long did you spend completing this evaluation?,How would you rate this template and process?,eval_url
"Evaluation 1 of ""Does online fundraising increase charitable giving? A nationwide field experiment on Facebook""",10+,10+,"experiment on Facebook"" ·",Does online fundraising increase charitable giving? A nationwide field experim,"not a resultTable A1 is titled “Results of Randomization,” yet what is shown is not evidence of whether randomization occurred, but rather covariate b",https://unjournal.pubpub.org/pub/e1fundraisingcharitablegivingcapitan/draft?access=c3r1bzw0
"Evaluation 2 of ""Does online fundraising increase charitable giving? A nationwide field experiment on Facebook""","Eighteen years working on digital advertising, thirty years evangelizing for the use of field experiments in economics",200,"experiment on Facebook"" ·",Does online fundraising increase charitable giving? A nationwide field experim,,https://unjournal.pubpub.org/pub/e2fundraisingcharitablegivingreiley/draft?access=y9rs7g73
"Evaluation 1 of ""Does online fundraising increase charitable giving? A nationwide field experiment on Facebook""",10+,10+,"experiment on Facebook"" ·",Does online fundraising increase charitable giving? A nationwide field experim,"not a resultTable A1 is titled “Results of Randomization,” yet what is shown is not evidence of whether randomization occurred, but rather covariate b",https://unjournal.pubpub.org/pub/e1fundraisingcharitablegivingcapitan
"Evaluation 2 of ""Does online fundraising increase charitable giving? A nationwide field experiment on Facebook""","Eighteen years working on digital advertising, thirty years evangelizing for the use of field experiments in economics",200,"experiment on Facebook"" ·",Does online fundraising increase charitable giving? A nationwide field experim,,https://unjournal.pubpub.org/pub/e2fundraisingcharitablegivingreiley
"Evaluation 1 of ""Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys""",8 years,10+,,,,https://unjournal.pubpub.org/pub/e1irrigationresilience/draft?access=jppt0uxj
"Evaluation 2 of ""Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys""",15 years,25+,,,,https://unjournal.pubpub.org/pub/e2irrigationresilience/draft?access=b2rui7jb
"Evaluation 2 of ""Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys""",15 years,25+,,,,https://unjournal.pubpub.org/pub/e2irrigationresilience
"Evaluation 1 of ""Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys""",8 years,10+,,,,https://unjournal.pubpub.org/pub/e1irrigationresilience
"Evaluation 1 of ""Maternal cash transfers for gender equity and child development: Experimental evidence from India""",10,,"10  proposals>100 Hedt-Gauthier BL, Jeufack HM, Neufeld NH, Alem A, Sauer S, Odhiambo J, et al",,,https://unjournal.pubpub.org/pub/e1maternalcashtransfers/draft?access=dmir170k
"Evaluation 2 of ""Maternal cash transfers for gender equity and child development: Experimental evidence from India""",5 years,,,,,https://unjournal.pubpub.org/pub/e2maternalcashtransfers/draft?access=h605kxny
"Evaluation 2 of ""Maternal cash transfers for gender equity and child development: Experimental evidence from India""",5 years,,,,,https://unjournal.pubpub.org/pub/e2maternalcashtransfers
"Evaluation 1 of ""Maternal cash transfers for gender equity and child development: Experimental evidence from India""",10,,"10  proposals>100 Hedt-Gauthier BL, Jeufack HM, Neufeld NH, Alem A, Sauer S, Odhiambo J, et al",,,https://unjournal.pubpub.org/pub/e1maternalcashtransfers
"Evaluation 1 of ""A systematic review and meta analysis of social safety nets, women’s economic achievements and agency""",20 years,6,"or area of expertise, as relevant to this research?Development economics, impact evaluation, meta-analysis >20  proposals, papers, and pr",,,https://unjournal.pubpub.org/pub/e1safetynets/draft?access=s22pj9zo
"Evaluation 2 of ""A systematic review and meta analysis of social safety nets, women’s economic achievements and agency""",27 years,100+,"or area of expertise, as relevant to this research? Development Studies/ Agricultural Economist 27  proposals, papers, and projects have","A systematic review and meta analysis of social safety nets, women’s economic",,https://unjournal.pubpub.org/pub/e2safetynets/draft?access=ze4gzccm
"Evaluation 1 of ""A systematic review and meta analysis of social safety nets, women’s economic achievements and agency""",20 years,6,"or area of expertise, as relevant to this research?Development economics, impact evaluation, meta-analysis >20  proposals, papers, and pr",,,https://unjournal.pubpub.org/pub/e1safetynets
"Evaluation 2 of ""A systematic review and meta analysis of social safety nets, women’s economic achievements and agency""",27 years,100+,"or area of expertise, as relevant to this research? Development Studies/ Agricultural Economist 27  proposals, papers, and projects have","A systematic review and meta analysis of social safety nets, women’s economic",,https://unjournal.pubpub.org/pub/e2safetynets
"Evaluation 1 of ""Forecasts estimate limited cultured meat production through 2050""",8 years,10,,,,https://unjournal.pubpub.org/pub/e1limitedmeatprod/draft?access=viehc2cj
"Evaluation 2 of ""Forecasts estimate limited cultured meat production through 2050""",3 years,,"that has just emerged and is developing rapidly, 5-7 years makes a huge difference.Approved productsFor instance, even in 2022 there was only one CM p",New TEA: First of its kind independent TEA shows Aleph Cuts will reach 47% margin at price parity wi,expertise,https://unjournal.pubpub.org/pub/e2limitedmeatprod/draft?access=kyfrtz2w
"Evaluation 2 of ""Forecasts estimate limited cultured meat production through 2050""",3 years,,"that has just emerged and is developing rapidly, 5-7 years makes a huge difference.Approved productsFor instance, even in 2022 there was only one CM p",New TEA: First of its kind independent TEA shows Aleph Cuts will reach 47% margin at price parity wi,expertise,https://unjournal.pubpub.org/pub/e2limitedmeatprod
"Evaluation 1 of ""Forecasts estimate limited cultured meat production through 2050""",8 years,10,,,,https://unjournal.pubpub.org/pub/e1limitedmeatprod
"Evaluation 1 of ""Ends versus Means: Kantians, Utilitarians, and Moral Decisions""",18 years,60,"or area of expertise, as relevant to this research?Experimental Economics 18  proposals, papers, and projects have you evaluated/reviewed",,,https://unjournal.pubpub.org/pub/e1endsversusmeans/draft?access=el620mzl
"Evaluation 2 of ""Ends versus Means: Kantians, Utilitarians, and Moral Decisions""",10 years,100+,"or area of expertise, as relevant to this research?Moral psychology, behavioural economics 10  proposals, papers, and projects have you e",,,https://unjournal.pubpub.org/pub/e2endsversusmeans/draft?access=52o71w5v
"Evaluation 2 of ""Ends versus Means: Kantians, Utilitarians, and Moral Decisions""",10 years,100+,"or area of expertise, as relevant to this research?Moral psychology, behavioural economics 10  proposals, papers, and projects have you e",,,https://unjournal.pubpub.org/pub/e2endsversusmeans
"Evaluation 1 of ""Ends versus Means: Kantians, Utilitarians, and Moral Decisions""",18 years,60,"or area of expertise, as relevant to this research?Experimental Economics 18  proposals, papers, and projects have you evaluated/reviewed",,,https://unjournal.pubpub.org/pub/e1endsversusmeans
"Evaluation 1 of ""Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo""",15 years,40,,,,https://unjournal.pubpub.org/pub/e1civicasymmetry/draft?access=2ip41dbb
"Evaluation 2 of ""Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo""",,,,,,https://unjournal.pubpub.org/pub/e2civicasymmetry/draft?access=8c5mj0v5
"Evaluation 2 of ""Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo""",,,,,,https://unjournal.pubpub.org/pub/e2civicasymmetry
"Evaluation 1 of ""Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo""",15 years,40,,,,https://unjournal.pubpub.org/pub/e1civicasymmetry
"Evaluation 2 of ""Misperceptions and Demand for Democracy under Authoritarianism""",10 years,200,,,,https://unjournal.pubpub.org/pub/e2demandfordemocracy/draft?access=mt0v2x9q
"Evaluation 2 of ""Misperceptions and Demand for Democracy under Authoritarianism""",10 years,200,,,,https://unjournal.pubpub.org/pub/e2demandfordemocracy
"Evaluation 1 of ""Misperceptions and Demand for Democracy under Authoritarianism""",10+ years,50+,"experiment,",,,https://unjournal.pubpub.org/pub/e1demandfordemocracy
