paper_title,evaluator,adv_knowledge_lower_CI,claims_lower_CI,gp_relevance_lower_CI,journal_predict_lower_CI,logic_comms_lower_CI,merits_journal_lower_CI,methods_lower_CI,open_sci_lower_CI,overall_lower_CI,real_world_lower_CI,adv_knowledge_middle_rating,claims_middle_rating,gp_relevance_middle_rating,journal_predict_middle_rating,logic_comms_middle_rating,merits_journal_middle_rating,methods_middle_rating,open_sci_middle_rating,overall_middle_rating,real_world_middle_rating,adv_knowledge_upper_CI,claims_upper_CI,gp_relevance_upper_CI,journal_predict_upper_CI,logic_comms_upper_CI,merits_journal_upper_CI,methods_upper_CI,open_sci_upper_CI,overall_upper_CI,real_world_upper_CI
A review of GiveWell's discount rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A systematic review and meta-analysis of the impact of cash transfers on subjective well-being and mental health in low- and middle-income countries,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,,90.0,90.0,74.0,4.5,89.0,5.0,90.0,90.0,90.0,74.0,95.0,95.0,86.0,4.8,95.0,5.0,95.0,95.0,95.0,86.0,100.0,100.0,95.0,5.0,100.0,5.0,100.0,100.0,100.0,95.0
Adjusting for Scale-Use Heterogeneity in Self-Reported Well-Being,,80.0,70.0,0.0,4.4,60.0,4.7,80.0,70.0,80.0,0.0,90.0,80.0,0.0,4.0,75.0,4.1,90.0,85.0,95.0,0.0,100.0,90.0,,5.0,90.0,5.0,100.0,90.0,100.0,
Deadweight Losses or Gains from In-kind Transfers? Experimental Evidence from India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Does Conservation Work in General Equilibrium?,,75.0,,65.0,3.6,60.0,3.8,60.0,60.0,60.0,65.0,80.0,,70.0,4.0,65.0,4.0,70.0,65.0,70.0,70.0,85.0,,75.0,4.4,70.0,4.2,80.0,70.0,80.0,75.0
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,,80.0,80.0,80.0,,90.0,3.9,85.0,88.0,85.0,80.0,90.0,85.0,90.0,,93.0,4.5,90.0,92.0,90.0,90.0,95.0,90.0,94.0,,98.0,4.7,94.0,95.0,95.0,94.0
Does online fundraising increase charitable giving? A nationwide field experiment on Facebook,,80.0,80.0,,,90.0,4.6,95.0,93.0,85.0,,90.0,85.0,,,92.0,4.8,97.0,97.0,92.0,,95.0,90.0,,,95.0,5.0,99.0,100.0,95.0,
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",,93.0,70.0,75.0,4.2,83.0,3.7,70.0,92.0,75.0,75.0,95.0,80.0,85.0,4.5,90.0,4.2,80.0,95.0,85.0,85.0,97.0,90.0,95.0,4.8,97.0,4.7,90.0,98.0,95.0,95.0
"Ends versus Means: Kantians, Utilitarians, and Moral Decisions",,50.0,60.0,40.0,2.5,55.0,3.5,60.0,50.0,45.0,40.0,65.0,75.0,50.0,4.3,65.0,4.0,70.0,70.0,70.0,50.0,80.0,90.0,60.0,5.0,75.0,4.8,80.0,80.0,85.0,60.0
Forecasts estimate limited cultured meat production through 2050 (EA forum post),,,,,,,,,,60.0,,,,,,,,,,70.0,,,,,,,,,,80.0,
Forecasts estimate limited cultured meat production through 2050 (EA forum post),,80.0,40.0,87.0,,43.0,,80.0,84.0,60.0,87.0,92.0,50.0,95.0,,50.0,,84.0,92.0,85.0,95.0,94.0,85.0,99.0,,67.0,,94.0,98.0,91.0,99.0
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,,70.0,80.0,70.0,3.5,90.0,4.0,90.0,80.0,80.0,70.0,75.0,85.0,75.0,4.0,95.0,4.5,95.0,85.0,85.0,75.0,80.0,90.0,80.0,4.5,100.0,5.0,100.0,90.0,90.0,80.0
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,,,0.0,,,,,0.0,,0.0,,32.0,35.0,30.0,3.2,40.0,2.5,34.0,70.0,46.0,30.0,,51.0,,,,,,,,
Irrigation Strengthens Climate Resilience: Long-term Evidence from Mali using Satellites and Surveys,,70.0,60.0,65.0,2.9,70.0,3.2,70.0,70.0,69.0,65.0,80.0,70.0,75.0,3.5,75.0,3.6,75.0,80.0,75.0,75.0,90.0,75.0,85.0,4.0,80.0,4.2,85.0,90.0,85.0,85.0
Maternal cash transfers for gender equity and child development: Experimental evidence from India,,90.0,80.0,90.0,3.6,75.0,3.6,80.0,80.0,80.0,90.0,95.0,90.0,95.0,4.1,80.0,4.2,85.0,90.0,85.0,95.0,100.0,100.0,100.0,4.6,85.0,5.0,90.0,100.0,90.0,100.0
Maternal cash transfers for gender equity and child development: Experimental evidence from India,,89.0,80.0,84.0,2.1,85.0,2.9,58.0,20.0,65.0,84.0,90.0,85.0,88.0,2.9,85.0,3.1,60.0,30.0,70.0,88.0,91.0,90.0,92.0,3.1,85.0,3.3,62.0,40.0,75.0,92.0
Mental Health Therapy as a Core Strategy for Increasing Human Capital: Evidence from Ghana,,55.0,,48.0,,62.0,,82.0,80.0,70.0,48.0,60.0,,50.0,,70.0,4.0,90.0,90.0,75.0,50.0,65.0,,52.0,,82.0,,94.0,95.0,84.0,52.0
Mental Health Therapy as a Core Strategy for Increasing Human Capital: Evidence from Ghana,,,,,,,,,,,,65.0,,75.0,,75.0,4.0,60.0,50.0,75.0,75.0,,,,,,,,,,
Population ethical intuitions.,,20.0,50.0,30.0,4.0,50.0,3.4,50.0,80.0,60.0,30.0,30.0,60.0,40.0,4.0,60.0,4.1,70.0,90.0,65.0,40.0,50.0,70.0,50.0,4.0,75.0,4.4,80.0,100.0,80.0,50.0
PUBPUB submission - E2 - The Effect of Public Science on Corporate R&D,,42.0,44.0,62.0,3.1,62.0,2.4,28.0,62.0,58.0,62.0,46.0,57.0,67.0,3.6,68.0,2.8,36.0,65.0,64.0,67.0,50.0,70.0,71.0,4.1,74.0,3.2,44.0,68.0,70.0,71.0
The animal welfare cost of meat: evidence from a survey of hypothetical scenarios among Belgian consumers,,85.0,65.0,70.0,,85.0,2.0,60.0,75.0,70.0,70.0,90.0,70.0,80.0,,90.0,2.5,65.0,80.0,80.0,80.0,95.0,75.0,90.0,,95.0,3.0,70.0,85.0,90.0,90.0
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,,75.0,90.0,89.0,,70.0,3.5,80.0,66.0,84.0,89.0,85.0,93.0,91.0,,75.0,4.2,85.0,76.0,87.0,91.0,90.0,96.0,93.0,,85.0,4.4,90.0,80.0,90.0,93.0
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Yellow Vests, Pessimistic Beliefs, and Carbon Tax Aversion",,,,,,,,,,,,,90.0,,,,5.0,93.0,,85.0,,,,,,,,,,,
