label_paper_title,aggregate_score,merit_mean,merit_std,overall_mean,diamond_score,predict_mean,num_evaluators,hours_spent,has_response,response_length,substantive,doi,research_url,publication_status,main_cause_cat,working_paper_release_date,num_eval_files
"A Welfare Analysis of Policies
Impacting Climate Change",0.8354301572617946,4.45,0.636396103067893,90.5,-0.04999999999999982,4.5,2.0,0.0,False,,,doi.org/10.3386/w32728,https://policyimpacts.org/wp-content/uploads/2024/07/MVPF_Climate_Policy.pdf,Working paper/mimeo; not published in a peer-reviewed journal,"The Environment: Harm to human health, biodiversity, risks and climate change",2025-02-07T00:00:00.000-05:00,3
Urban Forests: Environmental Health Values and Risks,0.7648679910030833,4.35,0.2121320343559638,75.0,0.049999999999998934,4.300000000000001,2.0,18.0,False,,,doi.org/10.3386/w31554,https://static1.squarespace.com/static/56034c20e4b047f1e0c1bfca/t/64cc6e2433011927e704dd75/1691119145031/XHXXZ_urbanforest_2023-8-3.pdf,Revise and resubmit,"The Environment: Harm to human health, biodiversity, risks and climate change",2023-08-01T00:00:00.000-04:00,3
The Macroeconomic Impact of Climate Change: Global vs. Local Temperature ,0.7594830027303937,4.6,0.1414213562373093,87.5,0.0,4.6,2.0,0.0,False,,,doi.org/ 10.3386/w32450,https://dkaenzig.github.io/diegokaenzig.com/Papers/bk_micc.pdf,Revise and resubmit,"The Environment: Harm to human health, biodiversity, risks and climate change",2024-08-01T00:00:00.000-04:00,3
Misperceptions and Demand for Democracy under Authoritarianism,0.7375666174742979,4.199999999999999,0.14142135623730995,86.5,-0.10000000000000053,4.3,2.0,16.0,False,,,10.3386/w33018,https://www.nber.org/papers/w33018,"Working paper/mimeo, not published","International cooperation and conflict, behavior of large governments; authoritarianism",2024-10-01T00:00:00.000-04:00,3
Does the Squeaky Wheel Get More Grease? The Direct and Indirect Effects of Citizen Participation on Environmental Governance in China,0.7342469247905322,4.55,0.3535533905932738,85.0,-0.14999999999999947,4.699999999999999,2.0,0.0,False,,,10.1257/aer.20221215,https://bfi.uchicago.edu/wp-content/uploads/2022/10/BFI_WP_2022-135.pdf,"Published, ~top journal","The Environment: Harm to human health, biodiversity, risks and climate change",2024-08-14T00:00:00.000-04:00,3
Selecting the Most Effective Nudge: Evidence from a Large-Scale Experiment on Immunization,0.7269672813185998,4.6,0.14142135623730995,90.0,-0.10000000000000053,4.7,2.0,0.0,False,,,https://doi.org/10.3386/w28726,https://arxiv.org/abs/2104.09645v2,Forthcoming,Global health; “Health & well-being in low-income countries”,,3
"The Long-Run Effects of Psychotherapy on Depression, Beliefs, and Economic Outcomes",0.7113709786962675,4.35,0.49497474683058307,84.5,0.04999999999999982,4.3,2.0,0.0,False,,,https://doi.org/10.3386/w30011,https://jondequidt.com/pdfs/psychotherapy-depression.pdf,Working paper/mimeo; not published in a peer-reviewed journal,Global health; “Health & well-being in low-income countries”,2023-01-31T00:00:00.000-05:00,2
Does Conservation Work in General Equilibrium?,0.6973708052999956,4.0,,70.0,0.0,4.0,1.0,0.0,False,,,,https://www.dropbox.com/scl/fi/0uv69awcp37tkaozdlmm7/ConservationGeneralEquilibrium_SalazarRestrepo_LeiteMariante_20240312.pdf?rlkey=9e2nx6h50xbaiji94tattvpsn&dl=0,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",2023-12-08T00:00:00.000-05:00,1
How Effective Is (More) Money? Randomizing Unconditional Cash Transfer Amounts in the US,0.690115558959597,4.35,0.2121320343559638,82.5,0.25,4.1,2.0,8.0,False,,,https://doi.org/10.2139/ssrn.4154000,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4154000,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",2022-12-19T00:00:00.000-05:00,3
The wellbeing cost-effectiveness of StrongMinds and Friendship Bench: Combining a systematic review and meta-analysis with charity-related data,0.6875301735976832,4.2,0.0,86.0,0.7000000000000002,3.5,2.0,0.0,True,7485.0,True,,https://www.happierlivesinstitute.org/wp-content/uploads/2025/06/The-wellbeing-cost-effectiveness-of-StrongMinds-and-Friendship-Bench-Combining-a-systematic-review-and-meta-analysis-with-charity-related-data-Nov-2024-Update.pdf,Working paper/mimeo; not published in a peer-reviewed journal,"Health and well-being (global, including wealthy countries)",,3
Adaptability and the Pivot Penalty in Science,0.6857063487306613,4.5,,80.0,0.0,4.5,1.0,0.0,False,,,https://doi.org/10.48550/arXiv.2107.06476,https://www.dropbox.com/s/5itlmhdkz1ll7jp/MS_SI_combined.pdf?dl=0,"Published, ~top journal","Innovation, meta-science, and research",,2
The Comparative Impact of Cash Transfers and a Psychotherapy Program on Psychological and Economic Well-being,0.678314601497215,4.5,0.7071067811865476,82.5,1.0,3.5,2.0,0.0,False,,,doi.org/10.3386/w28106,https://www.nber.org/papers/w28106,Working paper/mimeo; not published in a peer-reviewed journal,Global health; “Health & well-being in low-income countries”,2020-11-21T00:00:00.000-05:00,3
Building Resilient Education Systems: Evidence from Large-Scale Randomized Trials in Five Countries,0.6775914711434109,4.1,0.2828427124746191,86.5,-0.40000000000000036,4.5,2.0,0.0,False,,,doi.org/10.3386/w31208,https://static1.squarespace.com/static/60d0c05ace34212ef5a1131b/t/645a72201a2a280635acb739/1683649057454/Angrist_Ainomugisha_Bathena_Bergman_et-al_Building-Resilient-Education-Systems_2023.pdf,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),,2
Artificial Intelligence and Economic Growth,0.6719193993945562,4.5,0.7071067811865476,86.0,1.0,3.5,2.0,0.0,False,,,doi.org/10.3386/w23928,https://www.nber.org/system/files/working_papers/w23928/w23928.pdf,book chapter,Emerging technologies: social and economic impacts (focus: AI),2017-10-01T00:00:00.000-04:00,2
Universal Basic Income: Short-Term Results from a Long-Term Experiment in Kenya,0.6678151595272277,4.35,0.49497474683058373,84.0,0.0,4.35,2.0,0.0,False,,,,https://conference.nber.org/conf_papers/f192616.pdf,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),2023-09-15T00:00:00.000-04:00,3
Global potential for natural regeneration in deforested tropical regions,0.6667048930130656,4.0,0.7071067811865476,50.0,-1.0,5.0,2.0,36.0,False,,,https://doi.org/10.21203/rs.3.rs-3235955/v1,https://www.nature.com/articles/s41586-024-08106-4,Working paper/mimeo; not published in a peer-reviewed journal,"The Environment: Harm to human health, biodiversity, risks and climate change",,3
"Intergenerational Child Mortality Impacts of Deworming: Experimental Evidence from Two Decades of the Kenya Life Panel Survey
",0.664445375301567,4.0,0.7071067811865476,88.0,,,2.0,0.0,True,327.0,False,https://doi.org/10.3386/w31162,https://escholarship.org/uc/item/3d11905j,Working paper/mimeo; not published in a peer-reviewed journal,Global health; “Health & well-being in low-income countries”,2025-02-18T00:00:00.000-05:00,3
Population ethical intuitions.,0.6540631112735273,4.35,0.3535533905932738,71.0,0.0,4.35,2.0,0.0,False,,,https://doi.org/10.1016/j.cognition.2021.104941,https://bpb-us-w2.wpmucdn.com/web.sas.upenn.edu/dist/c/183/files/2022/07/Caviola-et-al-2022-Population-ethical-intuitions-COGNITION.pdf,Published: Psychology journal,"Attitudes and behaviors (Altruism, moral circles, animal consumption, effectiveness, political attitudes, etc.) [Psychology/behavioral economics adjacent group]",,3
Asymmetry in Civic Information: An Experiment on Tax Participation among Informal Firms in Togo,0.627814629607058,3.75,0.3535533905932738,80.0,-0.25,4.0,2.0,0.0,False,,,https://novafrica.org/wp-content/uploads/2021/11/2021.12.10_Moussa-Blimpo.pdf,https://www.dropbox.com/scl/fi/kgj5d5hr97t52xl1jhabs/Blimpo-Castaneda-Dower2025-Training-Taxation-Informal-Firms-Togo.pdf?rlkey=y3naz50zukfnm1okfk7js9ktd&dl=0,Unpublished,Economic development & governance (LMICs),2021-10-01T00:00:00.000-04:00,3
The Benefits and Costs of Guest Worker Programs: Experimental Evidence From the India-UAE Migration Corridor,0.6276472482689273,4.0,0.7071067811865476,75.0,-0.40000000000000036,4.4,2.0,0.0,True,327.0,False,doi.org/10.3386/w31354,https://www.nber.org/papers/w31354,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),2023-06-19T00:00:00.000-04:00,3
Money (Not) to Burn: Payments for Ecosystem Services to Reduce Crop Residue Burning,0.6253135818922506,4.0,0.0,87.5,0.0,4.0,2.0,0.0,False,,,https://doi.org/10.1257/aeri.20230431,https://seemajayachandran.com/money_not_to_burn.pdf,"Published, ~top journal",Economic development & governance (LMICs),2022-08-11T00:00:00.000-04:00,3
The Returns to Science In the Presence of Technological Risks,0.6227386334354509,4.5,,75.5,2.5,2.0,1.0,0.0,True,8197.0,False,https://doi.org/10.48550/arXiv.2312.14289,https://www.alphaxiv.org/pdf/2312.14289v2?abs=true&ref=99cf34,Working paper/mimeo; not published in a peer-reviewed journal,"Innovation, meta-science, and research",2023-12-21T00:00:00.000-05:00,2
Existential risk and growth,0.6162076942693246,4.0,0.7071067811865476,81.5,0.0,4.0,2.0,0.0,False,,,,https://www.aeaweb.org/conference/2025/program/paper/Af8HRE23,Working paper/mimeo; not published in a peer-reviewed journal,"Catastrophic and existential risks,  the long-term future, forecasting",,4
Towards best practices in AGI safety and governance,0.6127624475166056,4.0,,72.5,0.5,3.5,1.0,0.0,False,,,https://doi.org/10.48550/arXiv.2305.07153,https://arxiv.org/abs/2305.07153,Working paper/mimeo; not published in a peer-reviewed journal,Emerging technologies: social and economic impacts (focus: AI),2023-05-11T00:00:00.000-04:00,2
Forecasting Existential Risks: Evidence From a Long-Run Forecasting Tournament,0.6094470620355527,4.0,,77.5,0.0,4.0,1.0,0.0,False,,,,https://forecastingresearch.org/s/XPT.pdf,"Published, ? journal","Catastrophic and existential risks,  the long-term future, forecasting",,1
When do “Nudges” Increase Welfare?,0.5983675390215746,3.85,0.21213203435596414,85.5,-0.3500000000000001,4.2,2.0,0.0,False,,,doi.org/10.3386/w30740,https://www.nber.org/papers/w30740,"Published, ~top journal","Other: Economics/welfare, growth, policy, global markets and population",2022-12-12T00:00:00.000-05:00,2
Legalizing Entrepreneurship,0.5895901171883611,3.6,1.5556349186104046,75.0,0.1499999999999999,3.45,2.0,0.0,False,,,https://doi.org/10.3386/w30624,https://www.nber.org/papers/w30624,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),2022-11-01T00:00:00.000-04:00,4
Advance Market Commitments: Insights from Theory and Experience,0.5862469611556042,4.5,0.7071067811865476,79.66666666666667,0.5,4.0,2.0,0.0,True,703.0,False,https://doi.org/10.1257/pandp.20201017,https://sites.dartmouth.edu/csnyder/files/2021/02/w26775.pdf,"published, decent journal ",Global health; “Health & well-being in low-income countries”,2021-02-01T00:00:00.000-05:00,4
Choose Your Moments: [NIH] Peer Review and Scientific Risk Taking,0.5855633164321832,3.9,0.14142135623730964,72.5,0.19999999999999973,3.7,2.0,0.0,False,,,https://doi.org/10.3386/w31409,https://jeffreyshrader.com/papers/choose_your_moments.pdf,Working paper/mimeo; not published in a peer-reviewed journal,"Innovation, meta-science, and research",,3
The Effect of Public Science on Corporate R&D,0.5825142244479181,3.4,0.8485281374238571,69.5,-0.5000000000000004,3.9000000000000004,2.0,9.0,True,6509.0,True,doig.org/10.3386/w31899,https://www.nber.org/papers/w31899,Working paper/mimeo; not published in a peer-reviewed journal,"Innovation, meta-science, and research",2023-11-01T00:00:00.000-04:00,3
The Governance Of Non-Profits And Their Social Impact: Evidence From A Randomized Program In Healthcare In DRC,0.5644036234418466,3.8,,65.0,0.19999999999999973,3.6,1.0,0.0,False,,,https://doi.org/10.1287/mnsc.2023.4846,https://www.nber.org/system/files/working_papers/w30391/w30391.pdf,"published, decent journal ",Global health; “Health & well-being in low-income countries”,2022-08-29T00:00:00.000-04:00,2
The Environmental Effects of Economic Production: Evidence from Ecological Observations,0.5642079923950097,4.0,0.0,79.0,0.0,4.0,2.0,0.0,False,,,doi.org/10.3386/w29357,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4614212,Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),2021-10-11T00:00:00.000-04:00,4
Economic vs. Epidemiological Approaches to Measuring the Human Capital Impacts of Infectious Disease Elimination,0.5578036710129973,3.3,,80.0,0.0,3.3,1.0,0.0,False,,,https://doi.org/10.3386/w30202,https://www.nber.org/papers/w30202,Working paper/mimeo; not published in a peer-reviewed journal,Global health; “Health & well-being in low-income countries”,2022-07-01T00:00:00.000-04:00,3
Biodiversity risk,0.5502511831444696,3.75,0.3535533905932738,63.0,-0.7000000000000002,4.45,2.0,0.0,False,,,https://doi.org/10.3386/w31137,https://www.biodiversityrisk.org/,Revise and resubmit,"The Environment: Harm to human health, biodiversity, risks and climate change",,2
How Much Would Reducing Lead Exposure Improve Children’s Learning in the Developing World?,0.5411172515960474,2.75,0.3535533905932738,72.5,-0.8500000000000001,3.6,2.0,0.0,False,,,10.1093/wbro/lkae010,https://www.cgdev.org/sites/default/files/how-much-would-reducing-lead-exposure-improve-childrens-learning-developing-world.pdf,"Published, uncertain peer review",Global health; “Health & well-being in low-income countries”,2023-07-01T00:00:00.000-04:00,3
When Celebrities Speak: A Nationwide Twitter Experiment Promoting Vaccination In Indonesia,0.5410358988250086,4.0,1.4142135623730951,73.5,0.5,3.5,2.0,0.0,False,,,https://doi.org/10.1093/ej/uead102,https://web.stanford.edu/~arungc/ACMOP.pdf,"Published, ~top journal",Global health; “Health & well-being in low-income countries”,2019-02-25T00:00:00.000-05:00,3
Cognitive Behavioral Therapy among Ghana’s Rural Poor Is Effective Regardless of Baseline Mental Distress,0.5345412473615079,4.0,0.0,75.0,0.0,4.0,2.0,0.0,False,,,http://doi.org/10.1257/aeri.20210612,https://www.aeaweb.org/articles?id=10.1257/aeri.20210612,"Published, ~top journal",Global health; “Health & well-being in low-income countries”,2022-12-01T00:00:00.000-05:00,0
Water Treatment and Child Mortality: A Meta-analysis and Cost-effectiveness Analysis,0.5214334500168588,3.1,0.8485281374238571,67.5,-0.5,3.6,2.0,0.0,True,10246.0,True,doi.org/10.3386/w30835,https://bfi.uchicago.edu/wp-content/uploads/2023/01/BFI_WP_2022-26-2.pdf,Working paper/mimeo; not published in a peer-reviewed journal,Global health; “Health & well-being in low-income countries”,2025-10-09T00:00:00.000-04:00,3
Banning wildlife trade can boost demand for unregulated threatened species,0.48262172839758566,3.0,0.0,75.0,0.25,2.75,2.0,0.0,False,,,https://doi.org/10.1111/conl.13077,https://osf.io/preprints/socarxiv/s6gwu/,"Published, ? journal",Markets for products with large externalities (focus: animal agriculture),2022-05-29T00:00:00.000-04:00,4
Long term cost-effectiveness of resilient foods for global catastrophes compared to artificial general intelligence safety,0.4774712488310383,3.1666666666666665,1.0408329997330665,61.666666666666664,0.16666666666666652,3.0,3.0,0.0,True,3192.0,True,https://doi.org/10.1016/j.ijdrr.2022.102798,https://allfed.info/images/pdfs/Long_term_cost_effectiveness_of_resilien.pdf,"Published, ? journal","Catastrophic and existential risks,  the long-term future, forecasting",2022-04-21T00:00:00.000-04:00,3
Meaningfully reducing consumption of meat and animal products is an unsolved problem: A meta-analysis,0.46668469004927216,2.3,1.6970562748477138,57.0,-1.3000000000000003,3.6,2.0,15.0,True,2360.0,False,doi.org/10.31219/osf.io/q6xyr,https://osf.io/preprints/osf/q6xyr_v4,"Working paper/mimeo, not published",Markets for products with large externalities (focus: animal agriculture),,3
Effects of Emigration on Rural Labor Markets,0.4543973081842435,2.5,,70.0,0.0,2.5,1.0,0.0,False,,,doi.org/10.3386/w23929,"https://www.nber.org/papers/w23929#:~:text=Emigration%20could%20benefit%20landless%20village,productivity%20if%20skilled%20workers%20leave",Working paper/mimeo; not published in a peer-reviewed journal,Economic development & governance (LMICs),,2
Stagnation and Scientific Incentives,0.44311184583173935,3.0,,70.0,-0.5,3.5,1.0,3.5,False,,,10.3386/w26752,https://www.nber.org/system/files/working_papers/w26752/w26752.pdf,Working paper/mimeo; not published in a peer-reviewed journal,"Innovation, meta-science, and research",,2
Accelerating Vaccine Innovation for Emerging Infectious Diseases via Parallel Discovery,0.37132636836037763,2.3333333333333335,0.5773502691896257,50.0,-0.16666666666666652,2.5,3.0,0.0,False,,,https://doi.org/10.3386/w30126,https://www.nber.org/papers/w30126,book chapter,"Catastrophic and existential risks,  the long-term future, forecasting",2022-06-21T00:00:00.000-04:00,3
Pharmaceutical Pricing and R&D as a Global Public Good,0.3410587816496013,2.25,0.3535533905932738,40.5,0.25,2.0,2.0,0.0,False,,,doi.org/10.3386/w31272,https://www.nber.org/system/files/working_papers/w31272/w31272.pdf,Working paper/mimeo; not published in a peer-reviewed journal,"Other: Economics/welfare, growth, policy, global markets and population",,3
